symbol,company_name,series,isin_code,sector
NTPCGREEN,NTPC Green Energy Limited,EQ,INE0ONG01011,Power Generation
TORNTPOWER,Torrent Power Limited,EQ,INE813H01021,Integrated Power Utilities
AJANTPHARM,Ajanta Pharma Limited,EQ,INE031B01049,Pharmaceuticals
SRF,SRF Limited,EQ,INE647A01010,Specialty Chemicals
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,INE338I01027,Stockbroking & Allied
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,INE774D01024,Non Banking Financial Company (NBFC)
PIDILITIND,Pidilite Industries Limited,EQ,INE318A01026,Specialty Chemicals
UPL,UPL Limited,EQ,INE628A01036,Pesticides & Agrochemicals
DABUR,Dabur India Limited,EQ,INE016A01026,Personal Care
BHARTIHEXA,Bharti Hexacom Limited,EQ,INE343G01021,Telecom - Cellular & Fixed line services
AWL,AWL Agri Business Limited,EQ,INE699H01024,Edible Oil
UNOMINDA,UNO Minda Limited,EQ,INE405E01023,Auto Components & Equipments
UBL,United Breweries Limited,EQ,INE686F01025,Breweries & Distilleries
HEXT,Hexaware Technologies Limited,EQ,INE093A01041,Computers - Software & Consulting
DALBHARAT,Dalmia Bharat Limited,EQ,INE00R701025,Cement & Cement Products
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,INE765G01017,General Insurance
TATACAP,Tata Capital Limited,EQ,INE976I01016,Non Banking Financial Company (NBFC)
GAIL,GAIL (India) Limited,EQ,INE129A01019,Gas Transmission/Marketing
ABBOTINDIA,Abbott India Limited,EQ,INE358A01014,Pharmaceuticals
MRF,MRF Limited,EQ,INE883A01011,Tyres & Rubber Products
SJVN,SJVN Limited,EQ,INE002L01015,Power Generation
APLAPOLLO,APL Apollo Tubes Limited,EQ,INE702C01027,Iron & Steel Products
COROMANDEL,Coromandel International Limited,EQ,INE169A01031,Fertilizers
PRESTIGE,Prestige Estates Projects Limited,EQ,INE811K01011,Residential Commercial Projects
GODREJIND,Godrej Industries Limited,EQ,INE233A01035,Diversified
