week_date,portfolio_nav,weekly_return_pct,cumulative_return_pct,benchmark_level,benchmark_weekly_return_pct,benchmark_cumulative_return_pct,active_return_weekly_pct,active_return_cumulative_pct,num_holdings,cash_pct,num_buys,num_sells,turnover_pct,transaction_cost_inr
2019-02-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-02-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-02-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-03-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-03-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-03-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-03-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-03-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-04-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-04-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-04-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-04-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-05-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-05-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-05-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-05-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-05-31,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-06-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-06-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-06-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-06-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-07-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-07-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-07-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-07-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-08-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-08-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-08-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-08-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-08-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-09-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-09-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-09-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-09-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-10-04,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-10-11,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-10-18,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-10-25,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-11-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-11-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-11-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-11-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-11-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-12-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-12-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-12-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2019-12-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-01-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-01-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-01-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-01-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-01-31,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-02-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
